product,moisture_low,moisture_high,extract_fine_dry_min,extract_fine_dry_max,extract_coarse_dry_min,extract_coarse_dry_max,sacharification_time_mins,odour,colour_ebc,total_nitrogen_kjeldahl,soluble_nitrogen_kjeldahl,kolbach_idx_min,kolbach_idx_max,ph_min,ph_max,diastaic_power,fan_min,fan_max,friability_min,friability_max,glassy_corns_min,glassy_corns_max,pug_min,pug_max,total_protein_drybasis,aal_congress_min,aal_congress_max,homogeneity,screenings_gt25,screenings_lt22,foriegn_seeds_weeds,viscosity_congress,wort_beta_glucan_congress,dms_precursor,notes
Voyager AMBER,3,5,80.4,80.4,80.4,80.4,10,,25.3807107,1.35,1.65,35,41,5.7,6,21,120,175,85,97,0.1,2,0.33,5,0,78,84,95,98,0.1,1.5,1.7,200,5,"Our amber malt has an upfront yet pleasant, strong biscuit, burnt toast and subtle coffee
                profile. Gently roasted over several hours and finished off with a good dose of steam, this intense malt
                should be used sparingly in the full range of English ales, especially mild,bitters and porters to add a
                classic full flavoured, well rounded, dry finish."
Voyager ATLAS,5,5,81.78,81.78,81.78,81.78,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Our ""Atlas"" malt was designed as a lighter style continental type pale malt, suitable
                for use in specialty lagers and lighter style ales. This versatile, fully modified malt is made
                exclusively from low protein, Latrobe variety barley, grown by Jamie Kite on his 4th generation family
                farm ""Bugong"" Binya, in the Western Riverina of NSW. An extended, cooler germination is
                employed to promote even modification. Slightly cooler air on temps during kilning and curing assist in
                producing a clean, fresh subtle malt complexity without the body or colour of a traditional pale malt.
                Featuring high extract and fermentability this malt has become quite popular amongst craft distillers."
Voyager BISCUIT,4,5,79,79,79,79,10,,15.2284264,1.35,1.65,35,41,5.7,6,27,120,175,85,97,0.1,2,0.33,5,10.5,78,84,95,98,0.1,1.5,1.7,200,5,"We delicately roast our ale malt at very low temperatures for extended periods of time to produce
                a lighter style semi sweet, golden, lightly toasted biscuit malt. Use generously in lighter style pale
                ales, summer ales and English bitters to add depth and complexity without added cloyness."
Voyager BLACK BARLEY MALT,5,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,2.5380711,1.35,1.65,35,41,5.7,6,50,120,175,85,97,0.1,2,0.33,5,10.1,78,84,95,98,0.1,1.5,1.7,200,5,"Also referred to as Ethiopian black barley because of its country of origin, black barley was
                once an important food source for the ancient civilizations of North Africa, the Middle East and the
                Himalayas. A heirloom variety dating back to 4500BC, this grain has remained unchanged, farmed for
                generations in small batches and prized for its flavour, colour and nutritional value. A similar story
                our purple hulless barley, the seed for this ancient Ethiopian barley was sourced from the U.S in early
                2008, and bred up by Mr Murphy at Benalla over several years. Once enough grain was propagated Hamish
                Sinclair commercially grew the grain under licence growing several acres to service the artisan baking
                industry. Distinctive nut and biscuit aromas into an earthy and cereal grain like flavour with a
                slightly oily mouthfeel."
Voyager CHIT,4,5,69.5652174,69.5652174,69.5652174,69.5652174,10,,1.0152284,1.35,1.65,35,41,5.7,6,120,120,175,85,97,0.1,2,0.33,5,11.7,78,84,95,98,0.1,1.5,1.7,200,5,
Voyager CHOC RYE,4,5,73.9130435,73.9130435,73.9130435,73.9130435,0,,406.0913706,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"A unique dark bread, roasted nut and burnt spice profile."
Voyager CHOC WHEAT,4,55,71,71,71,71,0,,507.6142132,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,11.7,78,84,95,98,0.1,1.5,1.7,200,5,"Intense colour with a smoother, softer roast profile."
Voyager CHOCOLATE,3,5,75,75,75,75,0,,406.0913706,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"A delicious lighter style chocolate malt that imparts a sligh sweetness, smooth bitterness and
                classic cocoa, latte, iced coffee, caramel and burnt toast characteristics."
Voyager COMPASS PALE,5,5,82.78,82.78,82.78,82.78,10,,2.7918782,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Our pale malt is made from the new Compass variety barley. Grown by Doug and Scott McDonald on
                their family farm alongside the Mirrool Creek south or Barellan, New South Wales. Compass is a high
                yielding variety with superior grain plumpness and head retention. Our Compass Pale malt offers high
                extract and good fermentability. A low and slow kilning schedule helps to keep color formation low,
                whilst still providing a bright, fresh clean malt character, suitable as a base in a wide range of ales."
Voyager DEXTER,5,5,72,72,72,72,10,,2.5380711,1.35,1.65,35,41,5.7,6,20,120,175,85,97,0.1,2,0.33,5,11.5,78,84,95,98,0.1,1.5,1.7,200,5,"Dexter malt is a Cara Pils/Dextrin style malt that is a popular choice for enhancing the body,
                head/foam retention, and mouthfeel of beer. Produced in the traditional European caramel pilsner
                process, by steeping, part germinating and then drying high-quality, low-protein barley in the kiln.
                Dexter malt is particularly effective at increasing the foam stability of beer, making it a great choice
                for styles that require a persistent head, such as Pilsners, Lagers, and Belgian ales. It also adds a
                smooth, full-bodied mouthfeel to beer, enhancing its overall drinkability."
Voyager HERITAGE RYE,4.4,5,83.78,83.78,83.78,83.78,10,,3.0456853,1.35,1.65,35,41,5.7,6,44,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"A mix of wild and early commerical Ryecorn varieties our Heritage
                Ryecorn was rescued from a neighbouring farm. This grain was given a bit of love and attention to obtain
                some viable seed and the crop fared particularly well in its resurrection on our farm, providing small
                quantities to malt with, and fresh seed for future plantings. A darker, smaller seed than modern
                conventional Rye, our Heritage Cereal Ryecorn grown exclusively on our farm features an earthy, fresh
                rye bread aroma, toasty/biscuit like sweetness and a classic dry, spicy finish."
Voyager MALTED CORN,4.9,5,73.9130435,73.9130435,73.9130435,73.9130435,0,,2.0304569,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,0,78,84,95,98,0.1,1.5,1.7,200,5,"Malted from yellow Dent Corn grown locally on the fertile soils of the Murrumbidgee Irrigation
                Area our Malted Corn undergoes a long germination and high extended curing to produce a rich, intense
                flavour profile. Our malted corn benefits from being milled extremely fine before being added to the
                mash. Our Malted corn provides a much fuller, rounded and intense sweet corn flavour than raw corn. It
                can be added directly to the mash without requiring pre boiling or step mashing.
                An intense corn flavour/aroma. This malted Corn does not require gelatinization and lightens body,
                color, and flavor in all recipes. Extract will improve with higher final mash temps of 75-80C."
Voyager MALTED OATS Mitika,4,5,58.6956522,58.6956522,58.6956522,58.6956522,0,,3.0456853,1.35,1.65,35,41,5.7,6,0,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"VISUAL: Bright light straw color.
                AROMA: Oatmeal, cereal, porridge,
                TASTE: Silght sourness and grainy sweetness.
                MOUTHFEEL: Medium body, a little dryness, not cloying, creamy and smooth."
Voyager MOUNTAIN ASH SMOKE MALT,5,5,80.4347826,80.4347826,80.4347826,80.4347826,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"An intense bacon, eucalyptus, lemon-citrus smoke profile"
Voyager MUNICH,4.4,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,8.6294416,1.35,1.65,35,41,5.7,6,44,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Increased temperatures and humidity throughout kilning provide the distinctive rich toffee,
                raisin, nutty and biscuit characteristics typical of this style. Our Munich is a sweet, intense, aroma
                rich malt perfect for brewing classic malt driven German lagers and adding depth and complexity to ales."
Voyager ORGANIC CHIT,4,4,69.5652174,69.5652174,69.5652174,69.5652174,10,,1.0152284,1.35,1.65,35,41,5.7,6,120,120,175,85,97,0.1,2,0.33,5,11.7,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic New world barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally."
Voyager ORGANIC MUNICH Schooner,4.4,5,78.2608696,78.2608696,78.2608696,78.2608696,10,,8.6294416,1.35,1.65,35,41,5.7,6,44,120,175,85,97,0.1,2,0.33,5,10.4,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic New world barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally. Increased temperatures and humidity throughout kilning provide the
                distinctive rich toffee, raisin, nutty and biscuit characteristics typical of this style. Our Munich is
                a sweet, intense, aroma rich malt perfect for brewing classic malt driven German lagers and adding depth
                and complexity to ales."
Voyager ORGANIC PILSNER,5,5,81.78,81.78,81.78,81.78,10,,2.0304569,1.35,1.65,35,41,5.7,6,76,120,175,85,97,0.1,2,0.33,5,9,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic New world barley, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally. This pilsner is low protein and slightly undermodified, great for head
                retention and mouthfeel."
Voyager ORGANIC RED WHEAT,5,5,84.29,84.29,84.29,84.29,10,,2.5380711,1.35,1.65,35,41,5.7,6,64,120,175,85,97,0.1,2,0.33,5,10,78,84,95,98,0.1,1.5,1.7,200,5,"Certified Organic red soft wheat, grown exclusively by Chris and Sam Greenwood on their
                regenerative farm in Coleambally."
